2022-06-30 07:03:28,834 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-06-30 07:03:28,835 - INFO - Added job "Cache.is_it_time_to_dump" to job store "default"
2022-06-30 07:03:28,835 - INFO - Scheduler started
2022-06-30 07:03:28,838 - INFO - Started server process [1]
2022-06-30 07:03:28,838 - INFO - Waiting for application startup.
2022-06-30 07:03:28,839 - INFO - Application startup complete.
2022-06-30 07:03:28,840 - INFO - Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2022-06-30 07:08:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:08:48 UTC)" executed successfully
2022-06-30 07:08:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:09:08 UTC)" (scheduled at 2022-06-30 07:08:48.834505+00:00)
2022-06-30 07:08:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:09:08 UTC)" executed successfully
2022-06-30 07:09:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:09:28 UTC)" (scheduled at 2022-06-30 07:09:08.834505+00:00)
2022-06-30 07:09:08,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:09:08,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:09:28 UTC)" executed successfully
2022-06-30 07:09:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:09:48 UTC)" (scheduled at 2022-06-30 07:09:28.834505+00:00)
2022-06-30 07:09:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:09:48 UTC)" executed successfully
2022-06-30 07:09:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:10:08 UTC)" (scheduled at 2022-06-30 07:09:48.834505+00:00)
2022-06-30 07:09:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:10:08 UTC)" executed successfully
2022-06-30 07:10:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:10:28 UTC)" (scheduled at 2022-06-30 07:10:08.834505+00:00)
2022-06-30 07:10:08,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:10:08,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:10:28 UTC)" executed successfully
2022-06-30 07:10:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:10:48 UTC)" (scheduled at 2022-06-30 07:10:28.834505+00:00)
2022-06-30 07:10:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:10:48 UTC)" executed successfully
2022-06-30 07:10:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:11:08 UTC)" (scheduled at 2022-06-30 07:10:48.834505+00:00)
2022-06-30 07:10:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:11:08 UTC)" executed successfully
2022-06-30 07:11:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:11:28 UTC)" (scheduled at 2022-06-30 07:11:08.834505+00:00)
2022-06-30 07:11:08,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:11:08,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:11:28 UTC)" executed successfully
2022-06-30 07:11:28,834 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:11:48 UTC)" (scheduled at 2022-06-30 07:11:28.834505+00:00)
2022-06-30 07:11:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:11:48 UTC)" executed successfully
2022-06-30 07:11:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:12:08 UTC)" (scheduled at 2022-06-30 07:11:48.834505+00:00)
2022-06-30 07:11:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:12:08 UTC)" executed successfully
2022-06-30 07:12:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:12:28 UTC)" (scheduled at 2022-06-30 07:12:08.834505+00:00)
2022-06-30 07:12:08,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:12:08,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:12:28 UTC)" executed successfully
2022-06-30 07:12:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:12:48 UTC)" (scheduled at 2022-06-30 07:12:28.834505+00:00)
2022-06-30 07:12:28,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:12:48 UTC)" executed successfully
2022-06-30 07:12:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:13:08 UTC)" (scheduled at 2022-06-30 07:12:48.834505+00:00)
2022-06-30 07:12:48,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:13:08 UTC)" executed successfully
2022-06-30 07:13:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:13:28 UTC)" (scheduled at 2022-06-30 07:13:08.834505+00:00)
2022-06-30 07:13:08,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:13:08,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:13:28 UTC)" executed successfully
2022-06-30 07:13:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:13:48 UTC)" (scheduled at 2022-06-30 07:13:28.834505+00:00)
2022-06-30 07:13:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:13:48 UTC)" executed successfully
